DANÍČEK, Jiří;http://slovnikceskeliteratury.cz/showContent.jsp?docId=998;* 22. 10. 1948;Liberec;;
DAŇKOVÁ, Ilona;http://slovnikceskeliteratury.cz/showContent.jsp?docId=683;* 2. 3. 1934;Suché Vrbné (dnes České Budějovice – Suché Vrbné);† 14. 8. 1995;České Budějovice
DANNY;http://slovnikceskeliteratury.cz/showContent.jsp?docId=84;1990(– dosud);;;
DAR;http://slovnikceskeliteratury.cz/showContent.jsp?docId=85;1948 - 1952;;;
DAUPHIN;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1812;1994 - (dosud);;;
DĚDEČEK, Jiří;http://slovnikceskeliteratury.cz/showContent.jsp?docId=35;* 13. 2. 1953;Karlovy Vary;;
DEML, Jakub;http://slovnikceskeliteratury.cz/showContent.jsp?docId=999;* 20. 8. 1878;Tasov;† 10. 2. 1961;Třebíč
DEN, Petr;http://slovnikceskeliteratury.cz/showContent.jsp?docId=29;* 3. 4. 1898;Kolín;† 9. 9. 1970;New York (USA)
DENEMARKOVÁ, Radka;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1376;* 14. 3. 1968;Kutná Hora;;
DĚTSKÁ KNIHA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=86;1954 - 1956;;;
DĚŽINSKÝ, Milan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1619;* 17. 7. 1974;Kyjov;;
DIALOG (1);http://slovnikceskeliteratury.cz/showContent.jsp?docId=87;1957 - 1969;;;
DIALOG (2);http://slovnikceskeliteratury.cz/showContent.jsp?docId=88;1966 - 1969; 1990 - 1992;;;
DIALOG (3);http://slovnikceskeliteratury.cz/showContent.jsp?docId=1669;1968 - 1970; 1990 - (dosud);;;
DIALOG (4);http://slovnikceskeliteratury.cz/showContent.jsp?docId=1750;1976 - (dosud);;;
DIETL, Jaroslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=36;* 22. 5. 1929;Záhřeb (Chorvatsko);† 29. 6. 1985;Praha
DIKOBRAZ;http://slovnikceskeliteratury.cz/showContent.jsp?docId=89;1945 - 1990;;;
DISMAN, Miloslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=281;* 27. 4. 1904;Bělá pod Bezdězem;† 21. 4. 1981;Praha
DIVADLO;http://slovnikceskeliteratury.cz/showContent.jsp?docId=91;1949 - 1970;;;
DIVIŠ, Ivan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=12;* 18. 9. 1924;Praha;† 7. 4. 1999;Praha
DIVOKÉ VÍNO;http://slovnikceskeliteratury.cz/showContent.jsp?docId=92;1964 - 1971;;;
DNEŠEK;http://slovnikceskeliteratury.cz/showContent.jsp?docId=93;1946 - 1948;;;
DOBA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=94;1945 - 1947;;;
DOKOŘÁN (1);http://slovnikceskeliteratury.cz/showContent.jsp?docId=95;1957 - 1957;;;
DOKOŘÁN (2);http://slovnikceskeliteratury.cz/showContent.jsp?docId=96;1964 - 1965;;;
DOKOŘÁN (3);http://slovnikceskeliteratury.cz/showContent.jsp?docId=97;1997 - (dosud);;;
DOKOUPIL, Blahoslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=37;* 25. 12. 1952;Boskovice;† 14. 6. 2008;Vanovice
DOKULIL, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1000;* 13. 7. 1910;Mastník (u Třebíče);† 1. 2. 1974;Boskovice
DOLANSKÝ, Julius;http://slovnikceskeliteratury.cz/showContent.jsp?docId=360;* 23. 2. 1903;Všetuly (dnes Holešov);† 26. 4. 1975;Praha
DOLEŽAL, Miloš;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1351;* 1. 7. 1970;Háj u Ledče nad Sázavou;;
DOLEŽEL, Lubomír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1850;* 3. 10. 1922;Lesnice;† 28. 1. 2017;Verona (It.)
DOSTÁL, Vladimír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=28;* 2. 10. 1930;Česká Skalice;† 19. 1. 1975;Praha
DOSTÁL, Zeno;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1215;* 12. 11. 1934;Konice (u Prostějova);† 30. 1. 1996;Praha
DOUSKOVÁ, Irena;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1637;* 18. 8. 1964;Příbram;;
DOUTNÍK;http://slovnikceskeliteratury.cz/showContent.jsp?docId=99;1974 - 1988; 1995 - (dosud);;;
DRÁBEK, David;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1813;* 18. 6. 1970;Rychnov nad Kněžnou;;
DRAMATICKÉ UMĚNÍ;http://slovnikceskeliteratury.cz/showContent.jsp?docId=100;1982 - 1990;;;
