Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Dašice u Pardubic (Pardubice);1;Dašice (Česko)$$7ge339100;;;;Pardubice;Dašice u Pardubic;Dašice;NEPRAVDA
Děčín Podmokly (Děčín);1;Podmokly (Děčín, Česko)$$7ge360018;;;;Děčín;Děčín Podmokly;Podmokly;NEPRAVDA
Derfle (Uherské Hradiště);1;Sady (Uherské Hradiště, Česko)$$7ge130720;;;;Uherské Hradiště;Derfle;Sady;NEPRAVDA
Dessendorf (Jablonec nad Nisou);1;Desná (Jablonec nad Nisou, Česko)$$7ge128999;;;;Jablonec nad Nisou;Dessendorf;Desná;NEPRAVDA
Deutsch-Beneschau (Český Krumlov);1;Benešov nad Černou (Česko)$$7ge128742;;;;Český Krumlov;Deutsch-Beneschau;Benešov nad Černou;NEPRAVDA
Deutsch-Brodek (Prostějov);2;Brodek u Konice (Česko)$$7ge307068;;;;Prostějov;Deutsch-Brodek;Brodek u Konice;NEPRAVDA
Deutsch-Jassnik (Nový Jičín);2;Jeseník nad Odrou (Česko)$$7ge332313;;;;Nový Jičín;Deutsch-Jassnik;Jeseník nad Odrou;NEPRAVDA
Deutsch-Liebau (Šumperk);2;Libina (Česko)$$7ge390261;;;;Šumperk;Deutsch-Liebau;Libina;NEPRAVDA
Dluhonice u Přerova (Přerov);1;Dluhonice (Přerov, Česko)$$7ge390901;;;;Přerov;Dluhonice u Přerova;Dluhonice;NEPRAVDA
Dobrá u Frýdku (Frýdek Místek);1;Dobrá (Frýdek-Místek, Česko)$$7ge332448;;;;Frýdek Místek;Dobrá u Frýdku;Dobrá;NEPRAVDA
Dobrá Voda  (České Budějovice);1;Dobrá Voda u Českých Budějovic (Česko)$$7ge263010;;;;České Budějovice;Dobrá Voda ;Dobrá Voda u Českých Budějovic;NEPRAVDA
Dobrá Voda  (Pelhřimov);1;Dobrá Voda (Pelhřimov, Česko)$$7ge263016;;;;Pelhřimov;Dobrá Voda ;Dobrá Voda;NEPRAVDA
Dobrá Voda (České Budějovice);3;Dobrá Voda u Českých Budějovic (Česko)$$7ge263010;;;;České Budějovice;Dobrá Voda;Dobrá Voda u Českých Budějovic;NEPRAVDA
Dobrá Voda osada obce Hartmanice (Klatovy);1;Dobrá Voda (Hartmanice, Klatovy, Česko)$$7ge263021;;;;Klatovy;Dobrá Voda osada obce Hartmanice;Dobrá Voda;NEPRAVDA
Dobromělice (Prostějov);1;Dobromilice (Česko)$$7ge129012;;;;Prostějov;Dobromělice;Dobromilice;NEPRAVDA
Dobromělice nyní Dobromilice (Prostějov);2;Dobromilice (Česko)$$7ge129012;;;;Prostějov;Dobromělice nyní Dobromilice;Dobromilice;NEPRAVDA
Dobromielitz (Prostějov);1;Dobromilice (Česko)$$7ge129012;;;;Prostějov;Dobromielitz;Dobromilice;NEPRAVDA
Dobrovice, část Holé Vrchy (Mladá Boleslav);1;Holé Vrchy (Dobrovice, Česko)$$7ge436149;;;;Mladá Boleslav;Dobrovice, část Holé Vrchy;Holé Vrchy;NEPRAVDA
Dobrzan (Plzeň jih);2;Dobřany (Plzeň-jih, Česko)$$7ge129023;;;;Plzeň jih;Dobrzan;Dobřany;NEPRAVDA
Dobříč u Zbraslavi (Praha - západ);1;Dobříč (Praha-západ, Česko)$$7ge115144;;;;Praha - západ;Dobříč u Zbraslavi;Dobříč;NEPRAVDA
Dobšice u Sobotky (Jičín);2;Dobšice (Libošovice, Česko)$$7ge940227;;;;Jičín;Dobšice u Sobotky;Dobšice;NEPRAVDA
Doksany  (Litoměřice);1;Doksany (Česko)$$7ge272779;;;;Litoměřice;Doksany ;Doksany;NEPRAVDA
Doksany u Roudnice (Litoměřice);1;Doksany (Česko)$$7ge272779;;;;Litoměřice;Doksany u Roudnice;Doksany;NEPRAVDA
Dolánky u Turnova (Semily);2;a Dolánky u Turnova (Turnov, Česko)$$7xx0080133;xx;;;Semily;Dolánky u Turnova;a Dolánky u Turnova;NEPRAVDA
Dolany u Plzně (Plzeň sever);1;Dolany (Plzeň-sever, Česko)$$7ge291599;;;;Plzeň sever;Dolany u Plzně;Dolany;NEPRAVDA
Dolinek (Odolena Voda-Dolínek) (Praha - východ);1;Dolínek (Odolena Voda, Česko)$$7ge887282;;;;Odolena Voda-Dolínek;Dolinek;Dolínek;NEPRAVDA
Dolní Bělá u Plzně (Plzeň sever);2;Dolní Bělá (Česko)$$7ge129034;;;;Plzeň sever;Dolní Bělá u Plzně;Dolní Bělá;NEPRAVDA
Dolní Brádlo v dalších letech Horní Bradlo (Chrudim);1;Dolní Bradlo (Horní Bradlo, Česko)$$7ge538318;;;;Chrudim;Dolní Brádlo v dalších letech Horní Bradlo;Dolní Bradlo;NEPRAVDA
Dolní Hedeč osada obce Králíky (Ústí nad Orlicí);1;Dolní Hedeč (Králíky, Ústí nad Orlicí, Česko)$$7ge129038;;;;Ústí nad Orlicí;Dolní Hedeč osada obce Králíky;Dolní Hedeč;NEPRAVDA
Dolní Kšely v dalších letech Kšely (Kolín);1;Kšely (Česko)$$7xx0159528;xx;;;Kolín;Dolní Kšely v dalších letech Kšely;Kšely;NEPRAVDA
Dolní Lichtenwald (Česká Lípa);1;Dolní Světlá (Mařenice, Česko)$$7ge515698;;;;Česká Lípa;Dolní Lichtenwald;Dolní Světlá;NEPRAVDA
Dolní Lipová (Bruntál);1;Lipová-lázně (Česko)$$7ge129835;;;;Bruntál;Dolní Lipová;Lipová-lázně;NEPRAVDA
Dolní Lipová v dalších letech Lipová-lázně (Šumperk);1;Lipová-lázně (Česko)$$7ge129835;;;;Šumperk;Dolní Lipová v dalších letech Lipová-lázně;Lipová-lázně;NEPRAVDA
Dolní Ptíče (Kladno);1;Ptice (Česko)$$7ge645161;;;;Kladno;Dolní Ptíče;Ptice;NEPRAVDA
Dolní Ves na Moravě (Zlín);1;Dolní Ves (Fryšták, Česko)$$7xx0047593;xx;;;Zlín;Dolní Ves na Moravě;Dolní Ves;NEPRAVDA
Domamyšl (Tábor);1;Domamil (Česko)$$7ge346835;;;;Tábor;Domamyšl;Domamil;NEPRAVDA
Domanil (Třebíč);1;Domamil (Česko)$$7ge346835;;;;Třebíč;Domanil;Domamil;NEPRAVDA
Domašín u Vlašimi (Beroun);1;Domašín (Vlašim, Česko)$$7ge410584;;;;Beroun;Domašín u Vlašimi;Domašín;NEPRAVDA
Domaželice (Domažlice);2;Domažlice (Česko)$$7ge129061;;;;Domažlice;Domaželice;Domažlice;NEPRAVDA
Domažlicko (Domažlice);1;Domažlice (Česko : oblast)$$7ge128466;;;;Domažlice;Domažlicko;Domažlice;NEPRAVDA
Doubravice u Litovle (Olomouc);1;Doubravice (Moravičany, Česko)$$7ge242856;;;;Olomouc;Doubravice u Litovle;Doubravice;NEPRAVDA
Doubravice v dalších letech Doubravice nad Svitavou (Blansko);2;Doubravice nad Svitavou (Česko)$$7ge242851;;;;Blansko;Doubravice v dalších letech Doubravice nad Svitavou;Doubravice nad Svitavou;NEPRAVDA
Doubravka u Týna nad Vltavou (České Budějovice);1;Doubravka (Chrášťany, České Budějovice, Česko)$$7ge337706;;;;České Budějovice;Doubravka u Týna nad Vltavou;Doubravka;NEPRAVDA
Doudlevec (Plzeň-D.) (Plzeň);1;Doudlevce (Plzeň, Česko)$$7ge316193;;;;Plzeň-D.;Doudlevec;Doudlevce;NEPRAVDA
Drahowitz (Karlovy Vary);1;Drahovice (Karlovy Vary, Česko)$$7ge310794;;;;Karlovy Vary;Drahowitz;Drahovice;NEPRAVDA
Drážďany popraven (Spolková republ. Německo);1;Drážďany (Německo)$$7ge129086;;;;Spolková republ. Německo;Drážďany popraven;Drážďany;NEPRAVDA
Drážďany věznice (Spolková republ. Německo);1;Drážďany (Německo)$$7ge129086;;;;Spolková republ. Německo;Drážďany věznice;Drážďany;NEPRAVDA
Dreihöf=Oldřichovice (Ústí nad Orlicí);1;Oldřichovice (Ústí nad Orlicí, Česko)$$7ge331861;;;;Ústí nad Orlicí;Dreihöf=Oldřichovice;Oldřichovice;NEPRAVDA
Dresden (Spolková republ. Německo);1;Drážďany (Německo)$$7ge129086;;;;Spolková republ. Německo;Dresden;Drážďany;NEPRAVDA
Drkovičky u Hlučína (Opava);1;Darkovičky (Hlučín, Česko)$$7ge134127;;;;Opava;Drkovičky u Hlučína;Darkovičky;NEPRAVDA
Droužkovice u Chomutova (Chomutov);1;Droužkovice (Česko)$$7ge268052;;;;Chomutov;Droužkovice u Chomutova;Droužkovice;NEPRAVDA
Dřevohostice u Bystřice pod Hostýnem (Zlín);1;Dřevohostice (Česko)$$7ge129122;;;;Zlín;Dřevohostice u Bystřice pod Hostýnem;Dřevohostice;NEPRAVDA
Dubí u Kladna (Kladno);1;Dubí (Kladno, Česko)$$7ge537265;;;;Kladno;Dubí u Kladna;Dubí;NEPRAVDA
Dušníky (Praha - západ);2;Rudná (Praha-západ, Česko)$$7ge130689;;;;Praha - západ;Dušníky;Rudná;NEPRAVDA
Dux (Teplice);1;Duchcov (Česko)$$7ge129098;;;;Teplice;Dux;Duchcov;NEPRAVDA
Dvorec u Nepomuku (Plzeň jih);1;Dvorec (Nepomuk, Plzeň-jih, Česko)$$7ge429795;;;;Plzeň jih;Dvorec u Nepomuku;Dvorec;NEPRAVDA
Dvořiště (Český Krumlov);1;Dolní Dvořiště (Česko)$$7ge255013;;;;Český Krumlov;Dvořiště;Dolní Dvořiště;NEPRAVDA
Dvůr Králové (D.K. nad Labem) (Trutnov);1;Dvůr Králové nad Labem (Česko)$$7ge129108;;;;D.K. nad Labem;Dvůr Králové;Dvůr Králové nad Labem;NEPRAVDA
Dvůr Králové (Dvůr Králové nad Labem) (Trutnov);1;Dvůr Králové nad Labem (Česko)$$7ge129108;;;;Dvůr Králové nad Labem;Dvůr Králové;Dvůr Králové nad Labem;NEPRAVDA
Dvůr Králové (Hradec Králové);1;Dvůr Králové nad Labem (Česko)$$7ge129108;;;;Hradec Králové;Dvůr Králové;Dvůr Králové nad Labem;NEPRAVDA
Dvůr Králové (Trutnov);14;Dvůr Králové nad Labem (Česko)$$7ge129108;;;;Trutnov;Dvůr Králové;Dvůr Králové nad Labem;NEPRAVDA
Dvůr Králové v dalších letech Dvůr Králové nad Labem (Trutnov);1;Dvůr Králové nad Labem (Česko)$$7ge129108;;;;Trutnov;Dvůr Králové v dalších letech Dvůr Králové nad Labem;Dvůr Králové nad Labem;NEPRAVDA
Dýšina u Plzně (Plzeň sever);1;Dýšina (Česko)$$7ge129123;;;;Plzeň sever;Dýšina u Plzně;Dýšina;NEPRAVDA
Džbánov u Vysokého Mýta (Ústí nad Orlicí);1;Džbánov (Ústí nad Orlicí, Česko)$$7ge503106;;;;Ústí nad Orlicí;Džbánov u Vysokého Mýta;Džbánov;NEPRAVDA
Eger (Cheb);11;Cheb (Česko)$$7ge128920;;;;Cheb;Eger;Cheb;NEPRAVDA
Eger německy (Cheb);3;Cheb (Česko)$$7ge128920;;;;Cheb;Eger německy;Cheb;NEPRAVDA
Eichwald (Teplice);1;Dubí (Teplice, Česko)$$7ge129096;;;;Teplice;Eichwald;Dubí;NEPRAVDA
Einsiedel bei Würbenthal (Bruntál);1;Mnichov (Vrbno pod Pradědem, Česko)$$7ge130045;;;;Bruntál;Einsiedel bei Würbenthal;Mnichov;NEPRAVDA
Eisenberg (Šumperk);1;Ruda nad Moravou (Česko)$$7ge139126;;;;Šumperk;Eisenberg;Ruda nad Moravou;NEPRAVDA
Eisendorf (Domažlice);1;Železná (Bělá nad Radbuzou, Česko)$$7ge780427;;;;Domažlice;Eisendorf;Železná;NEPRAVDA
Elbing (Polsko);2;Elbląg (Polsko)$$7ge134150;;;;Polsko;Elbing;Elbląg;NEPRAVDA
Elbogen bei Karlsbad (Sokolov);2;Loket (Sokolov, Česko)$$7ge129862;;;;Sokolov;Elbogen bei Karlsbad;Loket;NEPRAVDA
Elhotten (Tachov);1;Lhota (Černošín, Česko)$$7ge326909;;;;Tachov;Elhotten;Lhota;NEPRAVDA
Engelsberg (Bruntál);1;Andělská Hora (Bruntál, Česko)$$7ge316737;;;;Bruntál;Engelsberg;Andělská Hora;NEPRAVDA
Engerau, v dalších letech Petržalka (Bratislava-P.) (Bratislava);1;Petržalka (Bratislava, Slovensko)$$7ge451736;;;;Bratislava-P.;Engerau, v dalších letech Petržalka;Petržalka;NEPRAVDA
Erpružice (Tachov);1;Erpužice (Česko)$$7ge326861;;;;Tachov;Erpružice;Erpužice;NEPRAVDA
Falkenau a.d. Eger (Sokolov);3;Sokolov (Česko)$$7ge130887;;;;Sokolov;Falkenau a.d. Eger;Sokolov;NEPRAVDA
Falknov nad Ohří (Sokolov);2;Sokolov (Česko)$$7ge130887;;;;Sokolov;Falknov nad Ohří;Sokolov;NEPRAVDA
Falknov nad Ohří v dalších letech Sokolov (Sokolov);1;Sokolov (Česko)$$7ge130887;;;;Sokolov;Falknov nad Ohří v dalších letech Sokolov;Sokolov;NEPRAVDA
Fil´akovo (Lučenec);1;Fiľakovo (Slovensko)$$7ge292174;;;;Lučenec;Fil´akovo;Fiľakovo;NEPRAVDA
Fischern (Karlovy Vary);1;Rybáře (Karlovy Vary, Česko)$$7ge351055;;;;Karlovy Vary;Fischern;Rybáře;NEPRAVDA
Fleissen bei Eger (Cheb);1;Plesná (Cheb, Česko)$$7ge311054;;;;Cheb;Fleissen bei Eger;Plesná;NEPRAVDA
Flossenburg (Německo);1;Flossenbürg (Německo)$$7ge559580;;;;Německo;Flossenburg;Flossenbürg;NEPRAVDA
Flossenburg (Spolková republ. Německo);1;Flossenbürg (Německo)$$7ge559580;;;;Spolková republ. Německo;Flossenburg;Flossenbürg;NEPRAVDA
Flossenbürg k.t. (Spolková republ. Německo);4;Flossenbürg (Německo)$$7ge559580;;;;Spolková republ. Německo;Flossenbürg k.t.;Flossenbürg;NEPRAVDA
Frain (Znojmo);1;Vranov nad Dyjí (Česko)$$7ge131330;;;;Znojmo;Frain;Vranov nad Dyjí;NEPRAVDA
Frankstadt (Nový Jičín);1;Frenštát pod Radhoštěm (Česko)$$7ge129159;;;;Nový Jičín;Frankstadt;Frenštát pod Radhoštěm;NEPRAVDA
Frankštát (Šumperk);2;Nový Malín (Česko)$$7ge139125;;;;Šumperk;Frankštát;Nový Malín;NEPRAVDA
Frankštát v dalších letech Nový Malín (Šumperk);2;Nový Malín (Česko)$$7ge139125;;;;Šumperk;Frankštát v dalších letech Nový Malín;Nový Malín;NEPRAVDA
Franzendorf (Liberec);1;Františkov (Liberec X, Česko)$$7xx0045903;;;;Liberec;Franzendorf;Františkov;NEPRAVDA
Franzensbad (Cheb);1;Františkovy Lázně (Česko)$$7ge129158;;;;Cheb;Franzensbad;Františkovy Lázně;NEPRAVDA
Frauenberg (České Budějovice);1;Hluboká nad Vltavou (Česko)$$7ge129262;;;;České Budějovice;Frauenberg;Hluboká nad Vltavou;NEPRAVDA
Frauenreuth (Cheb);1;Kopanina (Nový Kostel, Česko)$$7ge436127;;;;Cheb;Frauenreuth;Kopanina;NEPRAVDA
Freiburg (Spolková republ. Německo);7;Freiburg im Breisgau (Německo)$$7ge161602;;;;Spolková republ. Německo;Freiburg;Freiburg im Breisgau;NEPRAVDA
Freiburg i. Ü. (Švýcarsko);1;Fribourg (Švýcarsko)$$7ge622357;;;;Švýcarsko;Freiburg i. Ü.;Fribourg;NEPRAVDA
Freiburg/Baden (Spolková republ. Německo);1;Freiburg im Breisgau (Německo)$$7ge161602;;;;Spolková republ. Německo;Freiburg/Baden;Freiburg im Breisgau;NEPRAVDA
Freiwaldau (Šumperk);4;Jeseník (Česko)$$7ge128491;;;;Šumperk;Freiwaldau;Jeseník;NEPRAVDA
Frélichov (Břeclav);1;Jevišovka (Česko)$$7ge129461;;;;Břeclav;Frélichov;Jevišovka;NEPRAVDA
Freudenthal (Bruntál);5;Bruntál (Česko)$$7ge128839;;;;Bruntál;Freudenthal;Bruntál;NEPRAVDA
Friburg (Švýcarsko);1;Fribourg (Švýcarsko)$$7ge622357;;;;Švýcarsko;Friburg;Fribourg;NEPRAVDA
Friedeberg v dalších letech Žulová (Šumperk);1;Žulová (Česko)$$7ge140120;;;;Šumperk;Friedeberg v dalších letech Žulová;Žulová;NEPRAVDA
Friedeck (Frýdek Místek);1;Frýdek (Česko)$$7ge900522;;;;Frýdek Místek;Friedeck;Frýdek;NEPRAVDA
Friedek (Frýdek Místek);1;Frýdek (Česko)$$7ge900522;;;;Frýdek Místek;Friedek;Frýdek;NEPRAVDA
Friedland (Liberec);1;Frýdlant (Česko)$$7ge129166;;;;Liberec;Friedland;Frýdlant;NEPRAVDA
Friedrichsthal (Domažlice);1;Chalupy (Všeruby, Domažlice, Česko)$$7ge327509;;;;Domažlice;Friedrichsthal;Chalupy;NEPRAVDA
Friedrichswald (Jablonec nad Nisou);1;Bedřichov (Jablonec nad Nisou, Česko)$$7xx0044270;xx;;;Jablonec nad Nisou;Friedrichswald;Bedřichov;NEPRAVDA
Frýdek Místek (Frýdek Místek);1;Frýdek-Místek (Česko)$$7ge129165;;;;Frýdek Místek;Frýdek Místek;Frýdek-Místek;NEPRAVDA
Frýdek-Místek (Frýdek Místek);54;a Frýdek-Místek (Česko)$$7ge129165;;;;Frýdek Místek;Frýdek-Místek;a Frýdek-Místek;NEPRAVDA
Frýdštein (Jablonec nad Nisou);2;Frýdštejn (Česko)$$7ge345931;;;;Jablonec nad Nisou;Frýdštein;Frýdštejn;NEPRAVDA
Fryšták část Dolní Ves (Zlín);1;Dolní Ves (Fryšták, Česko)$$7xx0047593;xx;;;Zlín;Fryšták část Dolní Ves;Dolní Ves;NEPRAVDA
Fryšták-Dolní Ves (Zlín);1;Dolní Ves (Fryšták, Česko)$$7xx0047593;xx;;;Zlín;Fryšták-Dolní Ves;Dolní Ves;NEPRAVDA
Fryšták-Horní Ves (Zlín);1;Horní Ves (Fryšták, Česko)$$7xx0047605;xx;;;Zlín;Fryšták-Horní Ves;Horní Ves;NEPRAVDA
Frývaldov (Jeseník) (Šumperk);1;Jeseník (Česko)$$7ge128491;;;;Jeseník;Frývaldov;Jeseník;NEPRAVDA
Frývaldov v dalších letech Jeseník (Šumperk);3;Jeseník (Česko)$$7ge128491;;;;Šumperk;Frývaldov v dalších letech Jeseník;Jeseník;NEPRAVDA
Fugau (Děčín);1;Fukov (Česko : zaniklá obec)$$7xx0068023;xx;;;Děčín;Fugau;Fukov;NEPRAVDA
Fugava (Děčín);1;Fukov (Česko : zaniklá obec)$$7xx0068023;xx;;;Děčín;Fugava;Fukov;NEPRAVDA
Fugava v dalších letech Fukov-osada zanikla (Děčín);1;Fukov (Česko : zaniklá obec)$$7xx0068023;xx;;;Děčín;Fugava v dalších letech Fukov-osada zanikla;Fukov;NEPRAVDA
Füssen/Allgäu (Spolková republ. Německo);1;Füssen (Německo)$$7ge369103;;;;Spolková republ. Německo;Füssen/Allgäu;Füssen;NEPRAVDA
Gabel (Ústí nad Orlicí);1;Jablonné nad Orlicí (Česko)$$7ge129408;;;;Ústí nad Orlicí;Gabel;Jablonné nad Orlicí;NEPRAVDA
Gablonz (Jablonec nad Nisou);2;Jablonec nad Nisou (Česko)$$7ge129406;;;;Jablonec nad Nisou;Gablonz;Jablonec nad Nisou;NEPRAVDA
Gablonz německy (Jablonec nad Nisou);2;Jablonec nad Nisou (Česko)$$7ge129406;;;;Jablonec nad Nisou;Gablonz německy;Jablonec nad Nisou;NEPRAVDA
Georgswalde (Děčín);1;Jiříkov (Děčín, Česko)$$7ge129493;;;;Děčín;Georgswalde;Jiříkov;NEPRAVDA
Gerstenfeld b.Znaim (Znojmo);1;Ječmeniště (Česko : zaniklá obec)$$7xx0176598;xx;;;Znojmo;Gerstenfeld b.Znaim;Ječmeniště;NEPRAVDA
Giesshübl (Karlovy Vary);2;Kyselka (Česko)$$7ge129728;;;;Karlovy Vary;Giesshübl;Kyselka;NEPRAVDA
Gitschin (Jičín);1;Jičín (Česko)$$7ge129490;;;;Jičín;Gitschin;Jičín;NEPRAVDA
Glatz (Klodsko) (Polsko);1;Kladsko (Polsko)$$7ge387553;;;;Klodsko;Glatz;Kladsko;NEPRAVDA
Gliwice ve Slezsku (Polsko);1;Gliwice (Polsko)$$7ge271768;;;;Polsko;Gliwice ve Slezsku;Gliwice;NEPRAVDA
Glöckelberg (Český Krumlov);1;Zvonková (Česko : zaniklá obec)$$7ge291785;;;;Český Krumlov;Glöckelberg;Zvonková;NEPRAVDA
Göding (Hodonín);1;Hodonín (Česko)$$7ge129273;;;;Hodonín;Göding;Hodonín;NEPRAVDA
Gollnow (Polsko);2;Goleniów (Polsko)$$7ge893581;;;;Polsko;Gollnow;Goleniów;NEPRAVDA
Gorice (Jugoslávie);1;Nova Gorica (Slovinsko)$$7ge407212;;;;Jugoslávie;Gorice;Nova Gorica;NEPRAVDA
Görkau (Chomutov);1;Jirkov (Chomutov, Česko)$$7ge129483;;;;Chomutov;Görkau;Jirkov;NEPRAVDA
Gottesgab (Karlovy Vary);2;Boží Dar (Karlovy Vary, Česko)$$7ge137226;;;;Karlovy Vary;Gottesgab;Boží Dar;NEPRAVDA
Gottwaldov (Zlín);44;Zlín (Česko)$$7ge128609;;;;Zlín;Gottwaldov;Zlín;NEPRAVDA
Gottwaldov v dalších letech Zlín (Zlín);1;Gottwaldov (Česko)$$7ge666483;;;;Zlín;Gottwaldov v dalších letech Zlín;Gottwaldov;NEPRAVDA
Gottwaldov-Mladcová (Zlín);1;Mladcová (Zlín, Česko)$$7xx0047688;xx;;;Zlín;Gottwaldov-Mladcová;Mladcová;NEPRAVDA
Gräfenberg (Šumperk);2;Lázně Jeseník (Česko)$$7ge129918;;;;Šumperk;Gräfenberg;Lázně Jeseník;NEPRAVDA
Graslitz (Sokolov);3;Kraslice (Česko)$$7ge129673;;;;Sokolov;Graslitz;Kraslice;NEPRAVDA
Grasseth (Sokolov);1;Jehličná (Česko : zaniklá obec)$$7ge884120;;;;Sokolov;Grasseth;Jehličná;NEPRAVDA
Gratzen (České Budějovice);1;Nové Hrady (České Budějovice, Česko)$$7ge128528;;;;České Budějovice;Gratzen;Nové Hrady;NEPRAVDA
Graupen (Teplice);2;Krupka (Česko)$$7ge129689;;;;Teplice;Graupen;Krupka;NEPRAVDA
Graz (Rakousko);52;Štýrský Hradec (Rakousko)$$7ge128479;;;;Rakousko;Graz;Štýrský Hradec;NEPRAVDA
Graz asi (Rakousko);1;Štýrský Hradec (Rakousko)$$7ge128479;;;;Rakousko;Graz asi;Štýrský Hradec;NEPRAVDA
Grenobl (Francie);2;Grenoble (Francie)$$7xx0028761;;;;Francie;Grenobl;Grenoble;NEPRAVDA
Gries u Bolzana (Itálie);1;Gries (Bolzano, Itálie)$$7ge329460;;;;Itálie;Gries u Bolzana;Gries;NEPRAVDA
Gross-Gropitzreith (Tachov);1;Velký Rapotín (Tachov, Česko)$$7ge327096;;;;Tachov;Gross-Gropitzreith;Velký Rapotín;NEPRAVDA
Grulich (Hradec Králové);1;Králíky (Ústí nad Orlicí, Česko)$$7ge134294;;;;Hradec Králové;Grulich;Králíky;NEPRAVDA
Grulich (Ústí nad Orlicí);2;Králíky (Ústí nad Orlicí, Česko)$$7ge134294;;;;Ústí nad Orlicí;Grulich;Králíky;NEPRAVDA
Grüssau=Krzeszów (Polsko);1;Krzeszów (Polsko)$$7ge132309;;;;Polsko;Grüssau=Krzeszów;Krzeszów;NEPRAVDA
Haan (Teplice);1;Háj u Duchcova (Česko)$$7xx0117639;xx;;;Teplice;Haan;Háj u Duchcova;NEPRAVDA
Haber německy (Litoměřice);1;Habřina (Úštěk, Česko)$$7ge281070;;;;Litoměřice;Haber německy;Habřina;NEPRAVDA
Hadruba v dalších letech Hadrava (Klatovy);1;Hadrava (Chudenín, Česko)$$7ge717895;;;;Klatovy;Hadruba v dalších letech Hadrava;Hadrava;NEPRAVDA
Hagensdorf (Chomutov);1;Ahníkov (Česko : zaniklá obec)$$7xx0080705;xx;;;Chomutov;Hagensdorf;Ahníkov;NEPRAVDA
Haida (Česká Lípa);1;Nový Bor (Česko)$$7ge130239;;;;Česká Lípa;Haida;Nový Bor;NEPRAVDA
Haindorf (Liberec);1;Hejnice (Liberec, Česko)$$7ge129241;;;;Liberec;Haindorf;Hejnice;NEPRAVDA
Hainspach (Děčín);2;Lipová (Děčín, Česko)$$7ge129834;;;;Děčín;Hainspach;Lipová;NEPRAVDA
Háj (Opava);3;Háj ve Slezsku (Česko)$$7ge293698;;;;Opava;Háj;Háj ve Slezsku;NEPRAVDA
Hajda též Nový Bor (Česká Lípa);1;Nový Bor (Česko)$$7ge130239;;;;Česká Lípa;Hajda též Nový Bor;Nový Bor;NEPRAVDA
Halenkov u Vsetína (Vsetín);1;Halenkov (Česko)$$7xx0047601;xx;;;Vsetín;Halenkov u Vsetína;Halenkov;NEPRAVDA
Halle (Saale) (Spolková republ. Německo);1;Halle an der Saale (Německo)$$7ge134201;;;;Saale;Halle;Halle an der Saale;NEPRAVDA
Halle (Spolková republ. Německo);4;Halle an der Saale (Německo)$$7ge134201;;;;Spolková republ. Německo;Halle;Halle an der Saale;NEPRAVDA
Halle a.d.Saale (Spolková republ. Německo);1;Halle an der Saale (Německo)$$7ge134201;;;;Spolková republ. Německo;Halle a.d.Saale;Halle an der Saale;NEPRAVDA
Halle n. Sál. (Spolková republ. Německo);1;Halle an der Saale (Německo)$$7ge134201;;;;Spolková republ. Německo;Halle n. Sál.;Halle an der Saale;NEPRAVDA
Halže (Tachov);1;|w h Branka (Halže, Česko)$$7ge277355;;;;Tachov;Halže;|w h Branka;NEPRAVDA
Hamburg (Německo);6;Hamburk (Německo)$$7ge134202;;;;Německo;Hamburg;Hamburk;NEPRAVDA
Hamburg (Spolková republ. Německo);8;Hamburk (Německo)$$7ge134202;;;;Spolková republ. Německo;Hamburg;Hamburk;NEPRAVDA
Hamburg-Altona (Spolková republ. Německo);1;Altona (Hamburk, Německo)$$7ge128656;;;;Spolková republ. Německo;Hamburg-Altona;Altona;NEPRAVDA
Hamburg-Neungamme (Německo);1;Neuengamme (Hamburk, Německo)$$7ge893971;;;;Německo;Hamburg-Neungamme;Neuengamme;NEPRAVDA
Hamden stát Connecticut (USA);1;Hamden (Connecticut)$$7ge441051;;;;USA;Hamden stát Connecticut;Hamden;NEPRAVDA
Hammern bei Markt Eisenstein (Klatovy);1;Hamry (Klatovy, Česko)$$7ge309497;;;;Klatovy;Hammern bei Markt Eisenstein;Hamry;NEPRAVDA
Hamry-Hojsova Stráž (Klatovy);1;Hojsova Stráž (Železná Ruda, Česko)$$7ge327033;;;;Klatovy;Hamry-Hojsova Stráž;Hojsova Stráž;NEPRAVDA
Hanšpach (Česká Lípa);1;Lipová (Děčín, Česko)$$7ge129834;;;;Česká Lípa;Hanšpach;Lipová;NEPRAVDA
Haňšpach (Děčín);2;Lipová (Děčín, Česko)$$7ge129834;;;;Děčín;Haňšpach;Lipová;NEPRAVDA
Hartenberg (Sokolov);1;Hřebeny (Josefov, Sokolov, Česko)$$7ge351127;;;;Sokolov;Hartenberg;Hřebeny;NEPRAVDA
Hartenberk (Karlovy Vary);1;Hřebeny (Josefov, Sokolov, Česko)$$7ge351127;;;;Karlovy Vary;Hartenberk;Hřebeny;NEPRAVDA
Haslau (Cheb);1;Hazlov (Česko)$$7ge129238;;;;Cheb;Haslau;Hazlov;NEPRAVDA
Hayde (Česká Lípa);1;Nový Bor (Česko)$$7ge130239;;;;Česká Lípa;Hayde;Nový Bor;NEPRAVDA
Heidelberk (Spolková republ. Německo);2;Heidelberg (Německo)$$7ge129240;;;;Spolková republ. Německo;Heidelberk;Heidelberg;NEPRAVDA
